id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KGLR0,Gaylord / Nottingham Forest Mobile Home Park,US,MI,,KGLR,45.0136,-84.7036,405.0,America/Detroit,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KGMJ0,Grove,US,OK,,KGMJ,36.6068,-94.7386,253.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KGNB0,Granby,US,CO,,KGNB,40.09,-105.9165,2502.0,America/Denver,2017-07-03,2023-02-20,2017-07-05,2022-04-24,2020-01-01,2022-01-01
KGNC0,Seminole,US,TX,,KGNC,32.6833,-102.6667,1024.0,America/Chicago,2006-07-10,2023-02-20,2011-02-10,2022-04-24,2012-01-01,2022-01-01
KGNT0,Grants-Milan,US,NM,,KGNT,35.1673,-107.9021,1993.0,America/Denver,1948-01-01,2023-02-20,1948-01-02,2022-04-24,1948-01-01,2022-01-01
KGOK0,Guthrie,US,OK,,KGOK,35.8513,-97.4161,326.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KGOP0,Gatesville,US,TX,,KGOP,31.4213,-97.797,276.0,America/Chicago,2005-01-06,2023-02-20,2005-09-29,2022-04-24,2012-01-01,2022-01-01
KGOV0,Grayling,US,MI,,KGOV,44.6803,-84.7289,353.0,America/Detroit,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KGPM0,Grand Prairie / Florence Hill,US,TX,,KGPM,32.6988,-97.0469,179.0,America/Chicago,2006-01-01,2023-02-20,2010-04-11,2022-04-24,2020-01-01,2022-01-01
KGRK0,Killeen / Fort Hood / Montague Village,US,TX,,KGRK,31.0673,-97.8289,309.0,America/Chicago,1950-09-26,2023-02-20,1950-09-27,2022-04-24,1950-01-01,2021-01-01
KGSB0,Goldsboro / Sandy Springs,US,NC,,KGSB,35.3394,-77.9606,33.0,America/New_York,1943-06-01,2023-02-20,1943-08-12,2022-04-24,1943-01-01,2021-01-01
KGSH0,Goshen / Bainter Town,US,IN,,KGSH,41.5263,-85.7942,252.0,America/Indiana/Indianapolis,1999-01-14,2023-02-20,1999-01-23,2022-04-24,2005-01-01,2021-01-01
KGTU0,Georgetown / Serenada,US,TX,,KGTU,30.6788,-97.6794,241.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2007-01-01,2022-01-01
KGUC0,Gunnison,US,CO,,KGUC,38.5339,-106.933,2341.0,America/Denver,2005-01-01,2023-02-20,2005-01-02,2022-04-24,2005-01-01,2021-01-01
KGUS0,Bunker Hill / Grissom Air Force Base,US,IN,,KGUS,40.6481,-86.1521,248.0,America/Indiana/Indianapolis,2006-01-01,2023-02-20,2008-01-09,2022-04-24,2008-01-01,2021-01-01
KGUY0,Guymon,US,OK,,KGUY,36.6851,-101.5078,953.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KGVT0,Greenville / Center Point,US,TX,,KGVT,33.0678,-96.0653,163.0,America/Chicago,2006-07-20,2023-02-20,2010-12-19,2022-04-24,2016-01-01,2022-01-01
KGVW0,Kansas City,US,MO,,KGVW,38.8442,-94.5603,0.0,America/Chicago,1954-03-27,2023-02-20,1954-03-28,2022-04-24,1954-01-01,1977-01-01
